,mall_id,shop_code_max
1,m_1006,50
2,m_1010,44
3,m_1021,77
4,m_1043,60
5,m_1052,36
6,m_1057,35
7,m_1071,18
8,m_1080,46
9,m_1081,45
10,m_1082,3
11,m_1085,56
12,m_1089,138
13,m_1106,59
14,m_1111,57
15,m_1115,53
16,m_1128,51
17,m_1129,49
18,m_1161,42
19,m_1164,51
20,m_1175,135
21,m_1176,49
22,m_1263,106
23,m_1291,48
24,m_1293,112
25,m_1309,58
26,m_1320,50
27,m_1366,44
28,m_1375,75
29,m_1377,86
30,m_1381,46
31,m_1389,62
32,m_1402,58
33,m_1409,101
34,m_1413,47
35,m_1435,50
36,m_1442,69
37,m_1451,64
38,m_1485,49
39,m_1553,52
40,m_1585,44
41,m_1621,117
42,m_1657,48
43,m_1701,47
44,m_1755,41
45,m_1789,50
46,m_1790,82
47,m_1791,47
48,m_1807,67
49,m_1893,75
50,m_1905,8
51,m_1906,28
52,m_1910,31
53,m_1913,41
54,m_1919,62
55,m_1920,76
56,m_1928,49
57,m_1936,75
58,m_1943,59
59,m_1950,137
60,m_1960,11
61,m_1962,53
62,m_1968,56
63,m_1990,55
64,m_1993,48
65,m_1997,64
66,m_2005,56
67,m_2009,74
68,m_2011,46
69,m_2021,57
70,m_2030,32
71,m_2058,51
72,m_2060,32
73,m_2087,41
74,m_2092,74
75,m_2093,55
76,m_2097,43
77,m_2108,66
78,m_2123,86
79,m_2156,54
80,m_2177,39
81,m_2182,93
82,m_2218,50
83,m_2224,249
84,m_2230,59
85,m_2257,60
86,m_2267,115
87,m_2270,75
88,m_2299,19
89,m_2307,51
90,m_2324,62
91,m_2333,94
92,m_2334,74
93,m_2361,37
94,m_2369,45
95,m_2395,49
96,m_2404,53
97,m_2413,71
98,m_2414,51
99,m_2415,105
100,m_2419,70
101,m_2431,62
102,m_2450,32
103,m_2467,102
104,m_2476,49
105,m_2514,29
106,m_2539,24
107,m_2571,57
108,m_2578,130
109,m_2715,88
110,m_2864,64
111,m_2878,96
112,m_2892,62
113,m_2907,85
114,m_3001,56
115,m_3005,94
116,m_3010,44
117,m_3019,67
118,m_3027,50
119,m_3031,64
120,m_3034,64
121,m_3054,82
122,m_3092,48
123,m_3112,78
124,m_3117,56
125,m_3120,59
126,m_3143,52
127,m_3197,45
128,m_3219,63
129,m_3231,60
130,m_3232,60
131,m_3268,26
132,m_3281,38
133,m_3313,85
134,m_3319,31
135,m_3329,41
136,m_3414,54
137,m_3425,79
138,m_3434,64
139,m_3442,47
140,m_3445,71
141,m_3449,42
142,m_3467,51
143,m_3501,78
144,m_3511,48
145,m_3517,103
146,m_3520,59
147,m_3528,77
148,m_3532,70
149,m_3534,34
150,m_3540,44
151,m_3591,43
152,m_3596,64
153,m_3601,48
154,m_3605,26
155,m_3610,72
156,m_3620,60
157,m_3627,57
158,m_3679,73
159,m_3690,31
160,m_3695,50
161,m_3702,62
162,m_3709,52
163,m_3730,43
164,m_3732,53
165,m_3739,88
166,m_3753,38
167,m_3795,59
168,m_3804,57
169,m_3822,54
170,m_3832,104
171,m_3839,88
172,m_3847,81
173,m_3869,28
